1997	90060	DESMOND, JOHN P	L	state:upper	NJ-12
1999	90646	DESTEFANO, WILLIAM A	L	state:lower	NJ-35
2011	10794	DEWEESE FIOCCHI & WALTERS BRACKET			
2011	352303	DEWEESE, DAVID S	L	state:upper	NJ-1
2011	90917	DICICCO, DOMENICK	L	state:lower	NJ-3
2001	7634	DIEGNAN JR, PATRICK	W	state:lower	NJ-18
2005	7634	DIEGNAN JR, PATRICK J	W	state:lower	NJ-18
1997	90061	DIFRANCESCO, DONALD T	W	state:upper	NJ-22
2005	13376	DIGAETANO, PAUL	L	state:governor	
2003	90910	DILASCIO, RICHARD J	L	state:lower	NJ-36
2005	13384	DIMAIO, JOHN	L	state:lower	NJ-23
1997	90907	DIMARIA, JOHN	L	state:lower	NJ-2
2003	90577	DINARDO, ELISE	L	state:lower	NJ-33
2007	13391	DIORIO, DONALD E	L	state:lower	NJ-36
1999	90840	DISTEFANO, GERARD J	L	state:lower	NJ-34
2005	2245	DISTRICT 36 DEMOCRATS 2005			
2011	352313	DITTMAN, GLORIA S	L	state:upper	NJ-18
2007	3136	DOHERTY & REILLY BRACKET			
2011	10797	DOHERTY DIMAIO & PETERSON BRACKET			
2005	90918	DOHERTY, MATT	L	state:lower	NJ-11
2007	3738	DOHERTY, MICHAEL J	W	state:lower	NJ-23
2001	3738	DOHERTY, MIKE	W	state:lower	NJ-23
2003	90766	DOLOBOWSKY, MITCHEL	L	state:lower	NJ-30
1999	90890	DOMBROWSKI, ROBERT	L	state:lower	NJ-26
2001	90062	DONELLY, NORBERT E	L	state:upper	NJ-15
2009	3891	DONOHUE & CONRAD BRACKET			
2009	3980	DONOHUE & MCCANN BRACKET			
2007	13436	DONOHUE, MICHAEL J	L	state:lower	NJ-1
1997	90667	DONOVAN, MATTHEW	L	state:lower	NJ-11
2011	352306	DORAZIO, GIANCARLO	L	state:upper	NJ-4
1999	978	DORIA DEMOCRATIC LEADERSHIP FUND OF NEW JERSEY			
2001	629	DORIA JR, JOSEPH V	W	state:lower	NJ-31
1999	629	DORIA, JOSEPH V	W	state:lower	NJ-31
2003	90229	DOUGHERTY, PATRICK M	L	state:lower	NJ-4
1997	90926	DOWNING, BETTYJEAN	L	state:lower	NJ-37
1997	90920	DRESSEL, FRED	L	state:lower	NJ-38
2011	90512	DRISCOLL JR, JOHN J	L	state:upper	NJ-38
1997	90923	DUNCAN, BRIAN A	L	state:upper	NJ-35
2011	10798	DUNN CEDENO & MONTEIRO BRACKET			
2009	132298	DYER, OMAR	L	state:lower	NJ-31
2001	13556	EAGLER, PETER C	W	state:lower	NJ-34
2011	352318	EAMES, WILLIAM H	L	state:upper	NJ-27
2001	90928	EDGERTON, MARK	L	state:governor	
2001	90930	EDWARDS III, WILLIS	W	state:lower	NJ-34
2005	90491	EDWARDS, CHARLES	W	state:lower	NJ-17
2009	7625	EGAN, JOSEPH V	W	state:lower	NJ-17
2007	7625	EGAN, JOSFEPH V	W	state:lower	NJ-17
2003	90515	EGE, CYNTHIA L	L	state:lower	NJ-23
2003	90418	EL, ALI SLOAN	L	state:upper	NJ-5
2007	90724	ENGLAND, WILLIAM	L	state:lower	NJ-18
2005	7970	EPPS JR, CHARLES T	W	state:lower	NJ-31
2005	13681	EPSTEIN, DANIEL	L	state:lower	NJ-18
1997	13681	EPSTEIN, DANIEL N	L	state:lower	NJ-17
2001	90301	EQUIPADO, ADOR L	L	state:lower	NJ-31
2003	90302	ESCANDON, PAUL X	L	state:upper	NJ-11
2001	90821	ESPOSITO, NATALIE R	L	state:lower	NJ-34
2011	352229	EUSTACE, TIMOTHY J	W	state:lower	NJ-38
2007	9153	EVANS, ELEASE	W	state:lower	NJ-35
2009	3892	EYTAN & TIVENAN BRACKET			
2001	90296	FACEMYER, MICHAEL H	L	state:lower	NJ-3
1999	90292	FALLON, GEORGE C	L	state:lower	NJ-8
1997	90286	FAMULARO, JAMES 0	L	state:lower	NJ-11
2003	90597	FARIAS, VINCENT R	W	state:lower	NJ-7
2003	13771	FARRAGHER, CLARE M	L	state:lower	NJ-12
1997	90116	FAULKNER, KEN	L	state:lower	NJ-7
2001	90290	FAUNTLEROY, DIANNA W	L	state:lower	NJ-2
2007	90317	FEDUN, MICHAEL	L	state:lower	NJ-16
1997	13799	FELICE, NICHOLAS R	W	state:lower	NJ-40
2003	90315	FENICHEL, STEVEN	L	state:upper	NJ-1
2001	13816	FERNANDEZ, SYLVESTER	L	state:lower	NJ-18
2009	90322	FERRETTI, VINCENT	L	state:lower	NJ-10
2003	90860	FIERRO, LAURIE	L	state:lower	NJ-26
2007	90119	FIFIS, CHRISTOPHER D	L	state:lower	NJ-8
2011	352244	FIOCCHI, SAMUEL	L	state:lower	NJ-1
2009	3893	FISHER & LONZISERO BRACKET			
2007	7626	FISHER, DOUGLAS H	W	state:lower	NJ-3
2005	90305	FLEISCHNER, MARC	L	state:lower	NJ-6
2007	90904	FLETCHER, ESTHER	L	state:lower	NJ-39
2009	90734	FLOYD, REGINALD	L	state:lower	NJ-2
2005	2247	FLYNN & DASARO BRACKET			
2005	90063	FLYNN, WILLIAM E	L	state:lower	NJ-13
2001	90531	FOOHEY, JAMES K	L	state:lower	NJ-16
2001	90342	FORD, JAMES	L	state:lower	NJ-20
2005	90313	FORRESTER, DOUG	L	state:governor	
2007	90174	FOX, WAYNE G	L	state:upper	NJ-16
2003	90065	FRAGUELA, RAFAEL	L	state:upper	NJ-33
2001	90065	FRAGUELA, RAFAEL J	W	state:lower	NJ-33
2001	90311	FRANKS, BOB	L	state:governor	
1997	90066	FREDA, RICHARD	L	state:upper	NJ-31
2011	352257	FRIED, DAVE	W	state:lower	NJ-14
2003	14050	FRISCIA, ARLINE	L	state:lower	NJ-19
1999	14050	FRISCIA, ARLINE M	W	state:lower	NJ-19
2001	90259	FRITZ, MICHAEL A	L	state:lower	NJ-4
2009	90562	FUENTES, ANGEL	W	state:lower	NJ-5
2009	90263	FUNT, BARRY	L	state:lower	NJ-27
2001	90266	FUREY, JOHN	L	state:lower	NJ-10
2001	14081	FURNARI, GARRY J	W	state:upper	NJ-36
2005	90145	FUZO, FRANK J	L	state:lower	NJ-23
2005	2248	GABBERT & HERING BRACKET			
2005	90265	GABBERT, KENNETH A	L	state:lower	NJ-39
2003	90433	GABRIEL, DIANE F	L	state:upper	NJ-7
2007	90253	GAGLIONE, LINDA	L	state:upper	NJ-20
2001	90250	GALLAGHER, LOU	L	state:upper	NJ-7
2007	90151	GARCIA, NICOLE H	L	state:lower	NJ-33
1997	14148	GARCIA, RAUL	W	state:lower	NJ-33
1997	14175	GARRETT, E SCOTT	W	state:lower	NJ-24
2001	14175	GARRETT, SCOTT	W	state:lower	NJ-24
2007	90374	GATES, MARSHALL L	L	state:lower	NJ-25
2001	90256	GATRIA, ESTHER	L	state:lower	NJ-32
2003	90280	GAUNT, JANE BIDWELL	L	state:lower	NJ-40
2003	14213	GEIST, GEORGE F	L	state:upper	NJ-4
2003	90068	GEMMA, GORDON N	L	state:upper	NJ-12
2007	90282	GENOVESE, GINA	L	state:upper	NJ-21
2005	8007	GIBLIN, THOMAS P	W	state:lower	NJ-34
2001	14259	GIBSON, JOHN C	L	state:lower	NJ-1
2001	90272	GIDWANI, NARESH G (NICK)	L	state:upper	NJ-19
2005	751	GILL, NIA H		state:upper	NJ-34
1999	90482	GILLESPIE, PATRICK M	L	state:lower	NJ-13
2003	14304	GINTY, JOHN P	L	state:lower	NJ-40
2003	762	GIRGENTI, JOHN A	W	state:upper	NJ-35
2009	90070	GLENN, HERBERT	L	state:lower	NJ-28
2001	14344	GOFF, J REBECCA	L	state:lower	NJ-23
2005	2249	GOLDBERG & EADER BRACKET			
1999	90360	GOLDFARB, SIDNEY	L	state:lower	NJ-15
1997	90202	GOMEZ, FREDDY	L	state:lower	NJ-33
2001	90765	GOODE, WARREN	L	state:lower	NJ-11
2007	90370	GOODWIN, THOMAS	L	state:lower	NJ-14
2011	352204	GOPAL, VIN	L	state:lower	NJ-11
2007	3167	GORDON & VOSS BRACKET			
2007	3137	GORDON VOSS & WAGNER BRACKET			
2011	10800	GORDON WAGNER & EUSTACE BRACKET			
2007	6396	GORDON, ROBERT M	W	state:upper	NJ-38
2001	763	GORMLEY, WILLIAM	W	state:upper	NJ-2
2003	763	GORMLEY, WILLIAM L	W	state:upper	NJ-2
2011	352240	GRAF JR, JOHN	L	state:upper	NJ-23
2009	90377	GRAF, WERNER	L	state:lower	NJ-15
2003	90730	GRANT, DANIEL L	L	state:upper	NJ-26
1997	90375	GRAVES, KAROLE A	L	state:lower	NJ-35
2005	2251	GREEN & STENDER BRACKET			
2011	752	GREEN, GERALD	W	state:lower	NJ-22
2007	752	GREEN, GERALD (JERRY)	W	state:lower	NJ-22
2001	752	GREEN, JERRY	W	state:lower	NJ-22
2009	132301	GREENBERG, BRIAN	L	state:lower	NJ-6
2001	90867	GREENFOGEL, JANE A	L	state:upper	NJ-6
1997	90415	GREENSPAN, MICHAEL	L	state:upper	NJ-40
